구,계,단독주택,아파트,연립주택,다세대주택,비주거용주택,년도
종로구,46440,12421,15290,5459,12349,921,2019
중구,41754,6035,25823,1940,7095,861,2019
용산구,72463,14487,36181,3959,17107,729,2019
성동구,91037,10782,67058,2021,10095,1081,2019
광진구,89132,15786,32089,4068,35697,1492,2019
동대문구,104821,18990,64081,3280,16834,1636,2019
중랑구,107997,18891,52162,4440,30958,1546,2019
성북구,136437,23156,77457,6044,28315,1465,2019
강북구,97070,18017,34590,4748,38645,1070,2019
도봉구,106641,8835,64955,4131,27986,734,2019
노원구,187376,6680,161873,3440,14684,699,2019
은평구,148557,15146,57712,5914,68514,1271,2019
서대문구,97616,12958,50747,5477,27489,945,2019
마포구,119298,11854,68111,3165,34577,1591,2019
양천구,139938,7818,87387,4144,39730,859,2019
강서구,193551,10456,113076,4853,64018,1148,2019
구로구,129693,11692,81131,7399,28622,849,2019
금천구,67012,9011,30996,3913,22548,544,2019
영등포구,101603,14378,69946,1502,14595,1182,2019
동작구,115075,14661,61596,5161,32557,1100,2019
관악구,126526,21510,54355,6438,42253,1970,2019
서초구,131777,6331,92106,5489,26531,1320,2019
강남구,170444,7196,122664,5919,32872,1793,2019
송파구,208692,8255,125800,4899,68133,1605,2019
강동구,123014,10220,73505,3165,35001,1123,2019
