"동별(1)",동별(2),2024 3/4,2021,2022,2023
"동별(1)",동별(2),계 (명),계 (명),계 (명),계 (명)
"합계",소계,9605419,9736027,9667669,9638799
"합계",종로구,150011,153789,152211,150453
"합계",중구,131589,131787,130785,131793
"합계",용산구,218370,237285,233284,227106
"합계",성동구,282385,292672,288234,284766
"합계",광진구,349307,352627,351252,351180
"합계",동대문구,359219,352006,353601,359873
"합계",중랑구,386131,391885,390140,387470
"합계",성북구,435492,440142,441984,438168
"합계",강북구,289678,302563,297702,292977
"합계",도봉구,306926,319373,313989,309494
"합계",노원구,498358,514946,508014,502925
"합계",은평구,466809,477173,470602,470869
"합계",서대문구,319749,315659,319554,320629
"합계",마포구,373874,378686,375585,375162
"합계",양천구,435867,450487,444010,439252
"합계",강서구,563515,579768,574638,568826
"합계",구로구,412441,421163,418418,415651
"합계",금천구,239577,244891,242818,241105
"합계",영등포구,397514,400908,398085,397800
"합계",동작구,387792,394364,390432,389714
"합계",관악구,496469,499449,501226,497883
"합계",서초구,412611,416167,408451,412078
"합계",강남구,564280,537800,534103,550282
"합계",송파구,657991,663965,664514,660025
"합계",강동구,469464,466472,464037,463318
