"시점",종합,종합,종합,종합,종합
"시점",도심권,동북권,서북권,서남권,동남권
"2021.01",117.2,122.3,110.7,114.3,115.4
"2021.02",118.5,123.3,110.2,115.2,116.5
"2021.03",112.0,119.1,103.0,112.4,112.0
"2021.04",108.9,112.2,99.9,109.1,109.6
"2021.05",111.6,113.0,100.9,109.3,113.2
"2021.06",118.1,122.6,102.3,114.4,120.7
"2021.07",112.4,126.4,106.8,118.6,123.9
"2021.08",116.1,128.5,112.9,122.1,125.3
"2021.09",118.9,122.6,114.3,119.9,125.8
"2021.10",107.0,107.7,102.6,111.1,118.3
"2021.11",103.3,98.9,97.0,99.5,98.6
"2021.12",94.1,94.2,93.1,96.1,92.8
"2022.01",91.0,90.0,91.1,93.0,89.1
"2022.02",88.3,88.3,88.5,91.8,86.6
"2022.03",91.7,90.0,91.5,91.7,90.8
"2022.04",93.4,91.0,92.4,92.4,94.8
"2022.05",92.9,89.9,91.1,92.7,95.5
"2022.06",91.4,86.4,87.7,91.5,94.0
"2022.07",87.6,83.1,87.3,90.7,93.2
"2022.08",85.1,80.5,85.6,88.9,90.3
"2022.09",81.4,77.3,82.5,86.8,85.9
"2022.10",78.3,74.3,80.1,80.0,80.5
"2022.11",75.5,71.0,74.9,70.3,77.6
"2022.12",72.7,68.6,69.4,65.5,75.0
"2023.01",75.0,73.1,71.8,64.8,75.0
"2023.02",77.1,74.8,72.1,64.7,73.9
"2023.03",79.9,78.1,73.7,68.9,76.3
"2023.04",82.8,81.2,76.1,73.7,77.4
"2023.05",83.4,86.4,79.6,78.3,85.8
"2023.06",85.3,86.6,81.4,81.8,89.7
"2023.07",88.6,87.1,85.5,85.2,89.8
"2023.08",90.4,87.0,87.6,88.2,92.3
"2023.09",91.0,86.5,89.4,90.9,92.2
"2023.10",90.9,85.5,88.7,91.0,90.8
"2023.11",89.6,83.2,87.4,88.6,88.4
"2023.12",88.1,80.7,86.0,85.8,86.4
"2024.01",86.7,80.6,85.9,85.3,87.2
"2024.02",87.3,81.5,84.9,86.2,88.3
"2024.03",88.8,84.3,89.1,89.0,90.2
"2024.04",91.4,86.8,92.5,91.7,92.8
"2024.05",94.3,90.6,94.7,93.8,94.2
"2024.06",98.6,97.2,99.7,97.5,97.4
"2024.07",102.5,100.2,103.5,102.4,103.8
"2024.08",102.0,101.5,102.9,103.4,103.3
"2024.09",101.9,100.7,102.8,101.7,102.2
